序号    词语          加入长度
1  东方之星  0.07886716445047946
2  长江沉船  0.07111238405385488
3  沉船事件  0.04676028656076598
4  沉船  0.039548119950344386
5  事故  0.039530608314563155
6  长江  0.038916631906044205
7  客轮  0.03160080434949679
8  新闻  0.031203907642479378
9  最新  0.02987681184879899
10  龙卷风  0.02938454428568342
11  救援  0.026136635859474917
12  倾覆  0.02550079052313698
13  458  0.021879692393172303
14  15米  0.02125460698922614
15  位置  0.020707396400454176
16  现场  0.020523611558732075
17  找到  0.02013537285064348
18  湖北  0.01984331097319807
19  信息  0.019835360113385048
20  船长  0.019279298865725603
21  相关  0.019098852264453778
22  名单  0.018267154535533434
23  乘客  0.01738364433938253
24  游客  0.01667089182064223
25  水深  0.01596197378443817
26  消息  0.015770219599771287
27  中国  0.01573166195251791
28  旅行社  0.015304503682950955
29  国务院  0.01510616621734337
30  获救  0.014531190070136576
31  发生  0.013904125698346781
32  救起  0.013719897661469862
33  游轮  0.013624258422973093
34  客船  0.013302296246683144
35  监利  0.013291479031571154
36  中心  0.012865203981105945
37  10多艘  0.012845563186433727
38  沉没  0.012553717189430427
39  南京  0.012123383084123347
40  事发  0.01197408421635753
41  人员  0.011823694749539659
42  家属  0.011742257233573928
43  85岁  0.011452525571925012
44  视频  0.011294412322812775
45  遇难  0.010970090632654913
46  微博  0.010921595872834079
47  百度  0.010738688489434416
48  频道  0.010726434984323406
49  小时  0.010726434984323406
50  公布  0.010492174509049875
51  完整  0.010492174509049875
52  水域  0.01045493211778269
53  大风  0.01045493211778269
54  原因  0.010367759652087008
55  倒扣  0.010330281944998552
56  第一...  0.010255793871279914
57  潜水员  0.010253589274610977
58  幸存者  0.010204465388518479
59  李克强  0.009982227442909762
60  大雨  0.009617194221762465
61  曝光  0.009591235505748719
62  轮机长  0.009557012377746116
63  船底  0.009500102609055087
64  6.1  0.009455894639913
65  定性  0.009356011029726401
66  直播  0.009276953944922646
67  水中  0.009171029383647404
68  上海  0.009157747016217918
69  东方  0.009149199974969
70  失事  0.009144455299698595
71  事故现场  0.008869456045233983
72  习近平  0.008736018652798716
73  中游  0.008604900149950072
74  控制  0.00856379417018091
75  凤凰  0.008536339042021952
76  情况  0.008356870343507664
77  轮船  0.008342991666181401
78  水面  0.008203617878860238
79  露出  0.00813352588568004
80  人生  0.008063159675800333
81  新华  0.00775020780648006
82  发现  0.007707100541870084
83  打捞  0.007678303489166105
84  武汉  0.00750451790217884
85  14  0.007431591407282498
86  专家  0.007373027774929706
87  失踪  0.007314264167507842
88  搜狐  0.007240525197925588
89  载客  0.007240525197925588
90  重庆  0.007225739136865462
91  人数  0.007200871383567662
92  12级  0.007197337036764862
93  国内  0.007121875339819111
94  437  0.007028877616745215
95  遗体  0.007002388068763359
96  瞬间  0.006821545489333662
97  财经  0.006806386218317648
98  韩国  0.0067608249207449815
99  湖南  0.006638708622398671
100  江面  0.006407247371464799
101  老太  0.006282428489955954
102  困难  0.006235368337585911
103  社会  0.006203917129375175
104  关注  0.006156622629268879
105  落水  0.006156622629268879
106  生死  0.006093341410160611
107  操作  0.006013878454353449
108  12  0.006013878454353449
109  发布会  0.00583847664125272
110  30多  0.00583847664125272
111  com  0.005808505931548327
112  不当  0.0058053472628425105
113  岳阳  0.005740609076417557
114  真相  0.005708136234433891
115  船体  0.005708136234433891
116  老太太  0.005688134287248825
117  监利县  0.005657917566906503
118  五年  0.005610296572650676
119  超载  0.005544713913846502
120  船员  0.0055282731030931445
121  协和  0.005396085594219675
122  报废  0.005362852457396137
123  悲剧  0.005362852457396137
124  三年  0.005346207544310815
125  资讯  0.005346207544310815
126  图片  0.005312860650366221
127  高层  0.005312860650366221
128  大门  0.005296158516308116
129  参与  0.005212357854860189
130  气象  0.005077251930621246
131  17  0.005043274192587423
132  在线  0.005043274192587423
133  码头  0.0049921538293214215
134  10  0.004957970040081324
135  报警  0.004957970040081324
136  生还  0.004889350652180677
137  赶赴  0.004820390492051976
138  亲人  0.004768443004294025
139  90  0.004733701576311867
140  滚动  0.004733701576311867
141  女孩  0.004716297624672458
142  自救  0.004716297624672458
143  四名  0.004716297624672458
144  一名  0.004698871376006575
145  媒体  0.004646457791143444
146  江苏  0.004611401961111271
147  6月  0.004593839686306139
148  十一  0.00448797791459919
149  警方  0.004452501932562018
150  海洋  0.004434728022616991
151  登记  0.004399107756095987
152  20  0.004399107756095987
153  报道  0.00436339006777952
154  汇总  0.0043096286553174976
155  2名  0.0041287786499982155
156  22  0.004092296592929952
157  实录  0.004074015617321936
158  动画  0.004074015617321936
159  进展  0.0040006218637144726
160  船上  0.003963760898716305
161  女儿  0.003963760898716305
162  论坛  0.003945288837129293
163  岁月  0.003908260738932496
164  上岸  0.00385250614491641
165  时政  0.0037964924904167804
166  海事  0.0037964924904167804
167  河南  0.003777762879156921
168  生命  0.00372139631674004
169  有人  0.00372139631674004
170  豪华  0.0036647592160101343
171  11  0.003645819163582089
172  15  0.003645819163582089
173  照片  0.003645819163582089
174  父亲  0.0035888131641352585
