序号    词语          加入长度
1  股市暴跌  0.1272830523570567
2  股市大跌  0.1293357576062108
3  大跌  0.04708415222052293
4  2015年  0.022707922465262292
5  股市  0.03179571210015153
6  暴跌  0.05682286316449283
7  32  0.015494568492320924
8  a股  0.041361769067502045
9  导致  0.012254124993780133
10  股民  0.01646467089516899
11  5.28  0.016746822649076506
12  全国  0.01116236137615541
13  今日  0.0131748697505806
14  沪指  0.06114322423093053
15  6月  0.011277933987672526
16  跳楼  0.007011468272010198
17  5月  0.006935918298659467
