序号    词语         权重
1  alphago  0.3610666379838338
2  李世石  0.1621975511630936
3  人机大战  0.1257206714853607
4  围棋  0.09083056571144886
5  阿尔法  0.08933094813877919
6  alpha go  0.07931979959141285
7  直播  0.0727575701838567
8  人工智能  0.04402920703409904
9  谷歌  0.03530275359243116
10  柯洁  0.03223420628973047
11  视频  0.029449735962030505
12  go  0.026791434871262457
13  vs  0.02647664650464728
14  机器人  0.022354093281940456
15  google  0.020832949716010553
16  棋谱  0.018693736499563122
17  第四局  0.015858511323105836
18  解说  0.014688876253362258
19  2016  0.01444502502331648
20  阿法狗  0.012842056589885938
21  比赛  0.011530355652027771
22  第二局  0.010199106156711935
23  第三局  0.009936165764456495
24  棋手  0.009803974501005003
25  李世石vsalphago  0.009706359068991637
26  第五局  0.009571302353747842
27  大战  0.009037352240829757
28  alpha  0.008942911741257394
29  人机  0.008767340655373638
30  中国  0.008413126214453238
31  古力  0.007801310972333423
32  第四场  0.006740426399695296
33  讲解  0.0063669688347039516
34  时间  0.00598346548313873
35  第二场  0.005679082077269743
36  李世  0.005381884301997566
37  第三场  0.005239061569696682
38  deepmind  0.005199507677205518
