序号    词语          加入长度
1  转发微博  0.04606635003159786
2  南海仲裁  0.03832861177440772
3  中国  0.023560341002262758
4  菲律宾  0.02302112672820862
5  南海  0.02256424592820282
6  600855  0.01817224750248901
7  航天  0.01815730782541539
8  有理有据  0.017610248289204582
9  美国  0.01714400898441054
10  601989  0.01684000990800221
11  good  0.015640479736068236
12  台湾  0.015614962285384587
13  000519  0.01548260868362573
14  人民日报  0.014499102359377021
15  军工  0.014198039299109384
16  600435  0.01306103356583084
17  青年  0.01285983044931638
18  铿锵有力  0.012139526489230688
19  国际法  0.01213121611554649
20  仲裁  0.011622239928420465
21  关注  0.011142183544495775
22  紧张  0.011079751798160072
23  主权  0.010913741194662359
24  600879  0.010782772350909036
25  海军  0.010685133248671843
26  2016.7.11  0.010654643972644214
27  600343  0.010576942126519296
28  12日  0.010202884126016942
29  概念  0.010200628084160864
30  加剧  0.009978354405054795
31  区域  0.009722350291376294
32  分享  0.009692479300758861
33  裁决  0.009602446062858877
34  新闻  0.009536995857614184
35  7月  0.009440807498188666
36  军演  0.009059012636841906
37  国家  0.008815804235838583
38  提升  0.008513325833462072
39  文章  0.008502388967797222
40  视频  0.008403531230975076
41  国际  0.008079641880149795
42  发射场  0.00770519532975957
43  大陆  0.0076288268501297305
44  值得  0.007441494995219169
45  载人  0.007357885338243535
46  岛礁  0.007345894942127289
47  重工  0.007164629294182428
48  领土  0.0069980193764323725
49  一张  0.006993005816236048
50  军事  0.0064888932099965825
51  废纸  0.0064373031673460035
52  日本  0.006346480738644511
53  导航  0.006281180544686467
54  灯塔  0.006254959493584166
55  江南  0.006241827164089043
56  徐昕  0.006136239601012108
57  破坏  0.006056422659095483
58  戴军  0.005935667271463661
59  世界  0.005922172457690597
60  微博  0.005895135720932798
61  自古以来  0.005872994925405345
62  北方  0.0058730476944740375
63  公布  0.005800007266624146
64  单方面  0.005785379101182495
65  航母  0.0057726832116910065
66  发表  0.0056903194637136145
67  天宫  0.005648914665924794
68  导弹  0.005621227897232241
69  二号  0.00560735927395056
70  10日  0.005498575624840527
71  政府  0.0054957969899247896
72  客户  0.005467733910508563
73  市场  0.0054536761656551165
74  回复  0.005425507959884057
75  媒体  0.005397269053301546
76  11日  0.005327321986322107
77  战争  0.005312123078514033
78  局势  0.005254996204527316
79  发布  0.005154310992524985
80  今日  0.005110877457989151
81  演习  0.005052697500326235
82  北京  0.005052697500326235
83  合法  0.005013868460030236
84  解读  0.004979534199748173
85  凤凰  0.004935398746533584
86  阶段  0.004920646877548467
87  官方  0.004920646877548467
88  清晰  0.004801899272323185
89  上将  0.004801899272323185
90  交通部  0.0047972331197419366
91  舰队  0.004786962985385123
92  信息  0.004772005783005305
93  5座  0.004772005783005305
94  解放军  0.004768756571970084
95  捍卫  0.004711966057786338
96  大型  0.00469690295070331
97  维护  0.004641443977445473
98  部署  0.00463643508055333
99  电子  0.0044579195444303865
100  坐镇  0.004437470372208229
101  群岛  0.004333738359367621
102  越南  0.0042817713708025095
103  动力  0.004266069984972324
104  支持  0.004250344231761134
105  故事  0.004234593992308286
106  形式  0.004234593992308286
107  律师  0.004218819146587897
108  博文  0.004218819146587897
109  描述  0.004155471258756231
110  太平  0.004123646467966605
111  和平  0.004107695916065454
112  接受  0.004091719753601271
113  条理  0.004091719753601271
114  我国  0.004048643033534649
115  相关  0.0040275563510683236
116  4座  0.0040275563510683236
117  发光  0.003946759689847138
118  专家  0.003919259299388133
119  否定  0.00388163741146921
120  参与  0.00388163741146921
121  韩国  0.003816073811582888
122  拳头  0.0037550643801143417
123  霹雳  0.0037269187825893497
124  美军  0.0037168791136178
125  地区  0.003650167810626531
126  报道  0.0035829784051155315
127  四位  0.003549200791668453
128  发展  0.003532265602015079
129  建立  0.003515299234604432
130  建设  0.0034642111050427167
131  最终  0.0034471180533760908
132  总统  0.0033956450034921585
133  中华  0.003343876666085365
134  股份  0.003343876666085365
135  利益  0.0033265539201784264
136  社会  0.0033265539201784264
137  法庭  0.003256923759518402
138  请求  0.003239430263542438
139  舆论  0.0032219019093754457
140  技术  0.0032219019093754457
141  明天  0.0030803901921542163
142  亚洲  0.0030803901921542163
143  海洋  0.0030446457844974318
144  手段  0.0029907453904388045
145  全球  0.0029727017602753105
146  话筒  0.0029727017602753105
147  海域  0.0029596194899680476
148  一点  0.0029233361455249704
149  权益  0.0029183361825814917
150  战略  0.0029001350650049314
151  袁岳  0.00286361203767975
152  洋人  0.0028452894750553848
153  势力  0.0028452894750553848
154  旨在  0.0027900735607823634
155  历史  0.0027530526243405903
156  关键  0.0027344779855961046
157  挑衅  0.002715860075529433
158  行业  0.002715860075529433
159  解决  0.002697198517913987
