序号    词语         权重
1  pokemon go  0.23808233989453031
2  pokemongo  0.15388755788655606
3  口袋  0.07389449951259104
4  妖怪  0.07247478255140467
5  宝可梦  0.06504564100466759
6  精灵  0.058331824593715095
7  小精灵  0.033313489857449155
8  pokemon  0.025456345454062574
9  ios  0.023732176674185323
10  go  0.023661959123130325
11  宠物  0.02345500899078838
12  下载  0.02116822715554832
13  游戏  0.018504404881962207
14  gps  0.01793066429936795
15  安卓  0.01571200410805116
16  中国  0.01470608379911658
17  宝贝  0.01032721126327101
18  signal  0.010243132209768998
19  神奇  0.0096085403711558
20  iphone  0.009288452692061565
21  google  0.008911577557901952
22  vpn  0.008887560909908368
23  found  0.00857488493331478
24  定位  0.008546991049667134
25  地图  0.007018135550315708
26  苹果  0.0066157468933597694
27  failed  0.006324391712528783
28  账号  0.006150461837281693
